1d120	异常天气
1-20	异常炎热（约比平时高10度）。这种异常气温持续1d6天。有1/6的几率持续时间翻倍。 Unseasonably hot (approx. 10º hotter). Period of unusual temperature lasts for 1d6 days. There is a 1 in 6 chance it lasts for double this time.
21-40	异常寒冷（比正常温度低约10度）。这种异常气温将持续1d6天。有1/6的几率持续时间翻倍。 Unseasonably cold (approx. 10º colder). Period of unusual temperature lasts of 1d6 days. There is a 1 in 6 chance it lasts for double this time.
41-45	异常炎热（比正常温度高11-20度）。这种异常气温持续1d4天。有1/6的几率是由魔法引起的，另有1/6的几率持续时间翻倍。根据季节的不同，天气可能热到冒险者（尤其是穿着重甲或从事剧烈活动的人）有脱水的风险。在这种情况下，每日所需的水量翻倍（参见第7页）。 Unseasonably hot (+11-20º). Period of unusual temperature lasts for 1d4 days. There is a 1 in 6 chance the heat is caused by magical means, and an additional 1 in 6 chance it lasts for double the normal duration. Depending on the season, it may be hot enough that adventurers (especially those wearing heavy armor or engaged in strenuous activity) run the risk of becoming dehydrated. In these cases double the amount of water needed per day (see p. 7).
46-50	异常寒冷（-11至-20度）。这种异常温度将持续1d4天。有1/6的几率寒冷是由魔法引起的，另有1/6的几率寒冷持续时间会翻倍。根据季节的不同，气温可能低到足以对暴露在户外的人构成严重威胁。 Unseasonably cold (–11-20º). Period of unusual temperature lasts for 1d4 days. There is a 1 in 6 chance the cold is caused by magical means, and an additional1 in 6 chance it lasts for double the normal duration. Depending on the season, the temperature may become cold enough to pose a significant risk to those caught in the elements.
51-55	无风（风平浪静）。持续1d24小时。有1/6的几率持续1d6+1天。除非在海上，或依赖风力进行其他活动，否则此天气无机械性影响。 No winds (becalmed). Lasts for 1d24 hours. There is a 1 in 6 chance this lasts for 1d6+1 days. Unless at sea, or relying upon wind for other reasons, this has no mechanical effects.
56-60	强风。风速约为20+1d20英里/小时。强风持续1d12小时。有1/6的几率强风持续时间翻倍，还有1/6的几率强风带来天气变化（再次掷骰，参考表7、8等）。这些风被视为强风。关于风可能产生的机械效果，请参阅第43页。 Strong winds. Approx. 20+1d20 mph. The winds last for 1d12 hours. There is a 1 in 6 chance the winds last for double the indicated duration, and a 1 in 6 chance that the winds bring a change in weather (roll again on Table 7, 8 etc.). These winds are considered strong winds. Refer to p. 43 for information on the mechanical effects wind may have.
61-63	强风。风速约为60+2d20英里/小时。大风持续1d8小时。有1/6的几率大风持续时间翻倍，且有1-3/6的几率大风带来天气变化（再次在表7、8等上掷骰）。风力强劲，足以将轻质、未固定的物体吹至空中，并吹倒脆弱或受损的树木/建筑。这些风被视为强风。有关风可能产生的机械效果，请参阅第43页。 Strong winds. Approx. 60+2d20 mph. The winds last for 1d8 hours. There is a 1 in 6 chance the winds last for double the indicated duration, and a 1-3 in 6 chance that the winds bring a change in weather (roll again on Table 7, 8 etc.). The winds are strong enough that light, unsecured objects are blown through the air and weakened or damaged trees/structures are knocked down. These winds are considered gale force. Refer to p. 43 for information on the mechanical effects wind may have.
64-66	非雨即雹。冰雹大小为：➢ 1-3 小 ➢ 4-5 中 ➢ 6 大。若掷出此结果时未预报有雨，则（1-3）在1d24小时内将有一场反常的风暴，或（4-6）冰雹将在下次预报有雨时出现。 Instead of rain, the result is hail. The hail is: ➢ 1-3 small ➢ 4-5 medium ➢ 6 large If no rain is forecast when this result is rolled, there is a (1-3) freak storm within 1d24 hours, or (4-6) the hail merely occurs the next time rain is forecast.
67	区域天气模式发生剧烈变化。在晴天和多云条件下，降雨几率增加（1-3）或减少（4-6）1d6。这种天气变化将持续：➢ 1-2 一周 ➢ 3 一个月 ➢ 4 一年 ➢ 5 十年 ➢ 6 永久。如果天气变化持续一年或更长时间，该地区的农业产出将受到影响。每格农业产出将：➢ 1-4 每月减少0.5金币 ➢ 5-6 每月增加0.5金币。裁判掷骰结果为：5, 4, 4, 5。他一直在使用本文档中的表7和表8。掷骰结果表明，该地区的降雨几率减少，大约持续一年。现在，晴天时只有掷出20才会下雨，多云时掷出15-20才会下雨。然而，这似乎与当地作物状况相符，因为农业产出每月增加了0.5金币。在表11——天气区域掷骰时，增加1d4。此外，天气变化增加了该地区的不稳定性。在该地区内的所有领地在天气变化期间进行的所有士气掷骰（见第58页）都将受到-1的惩罚。 There is a drastic shift in regional weather patterns. Increase (1-3) or decrease (4-6) the chance of rain by 1d6 in both clear and cloudy conditions. This change in weather will last for: ➢ 1-2 a week ➢ 3 a month ➢ 4 a year ➢ 5 a decade ➢ 6 permanently If the change in weather lasts for a year or more the agricultural output of the region will be altered. The output per hex will be: ➢ 1-4 decreased by .5 gp per month ➢ 5-6 increased by .5 gp per month The Referee rolls the following: 5, 4, 4, 5. He has been using Tables 7 and 8 as given in this document. The results of the rolls indicate that the chance of rainfall in the area is decreased, for approximately a year. It will now only rain on a result of 20 when clear, and 15-20 when cloudy. This seems to agree with the local crops, however, as agricultural output increases by .5 gp per month. When rolling on Table 11 – Area of Weather add 1d4 to the roll. Additionally, the change in weather adds instability to the region. Any domains within the region have a –1 penalty applied to all morale rolls (see p. 58) made during the period of weather change.
68	下一次降水将带有随机的魔法特性。其效果如下：➢ 1 对植物生长有益，使来年产量翻倍（每格农业产出翻倍）。➢ 2 对植物生长有害，使来年产量减半（每格农业产出减半）。➢ 3 在所有表面留下一层粘液，持续1d4小时后蒸发。➢ 4 降落后立即蒸发，所有表面保持干燥。➢ 5 降下弱效圣水（1-3）或弱效邪水（4-6）。对所有通常受该物质影响的生物，其效果减半。➢ 6 使非魔法金属物品立即生锈，品质降低一级（金属护甲的AC增加1，金属武器的伤害减少1点，等等）。如果使用表11，从掷骰结果中减去1d6。 The next time precipitation falls it is imbued with random magical qualities. It is: ➢ 1 beneficial to the growth of plants, effectively doubling any yields for the upcoming year (double agricultural output per hex). ➢ 2 detrimental to the growth of plants, effectively halving any yields for the upcoming year (half agricultural output per hex). ➢ 3 leaves a slimy mucus on all surfaces, which lasts for 1d4 hours before evaporating. ➢ 4 evaporates instantly upon falling, leaving all surfaces dry. ➢ 5 rains a weak holy water (1-3) or unholy water (4-6). Treat the substance as half potency for all creatures normally affected by the given substance. ➢ 6 causes non-magical metallic items to rust instantly, reducing their quality by one (metal armor has its AC increased by one, metal weapons inflict one fewer point of damage, etc.). If using Table 11, subtract 1d6 from the roll.
