1d72	姓
1	格罗夫斯 (Groves)
2	哈瑟威 (Hatheway)
3	杜阿尔特 (Duarte)
4	汉布尔顿 (Hambleton)
5	克林顿 (Clinton)
6	胡梅斯 (Humes)
7	特恩布尔 (Turnbull)
8	胡勒 (Hulle)
9	贝里 (Berry)
10	豪兰德 (Howland)
11	埃克尔斯通 (Ecclestone)
12	伍德罗 (Woodrow)
13	巴格利 (Bagley)
14	埃尔德雷德 (Eldred)
15	奥尔登 (Alden)
16	温德姆 (Wyndham)
17	巴兹利 (Bardsley)
18	韦弗 (Weaver)
19	沃里克 (Warwick)
20	埃尔梅尔 (Elmere)
21	门德 (Mender)
22	哈克斯利 (Huxley)
23	霍金斯 (Hawkins)
24	霍华德 (Haward)
25	布什 (Bush)
26	布拉德沃思 (Bloodworth)
27	霍姆伍德 (Homewood)
28	克拉夫特福德 (Craftford)
29	沃尔夫 (Wolfe)
30	温布利 (Wembley)
31	威尔逊 (Wilson)
32	雷德斯 (Reids)
33	沃尔顿 (Walton)
34	哈特 (Hart)
35	布莱克伯恩 (Blackbourne)
36	科克尔 (Cockle)
37	富尔顿 (Fulton)
38	科伯恩斯 (Coburns)
39	伯克 (Bourke)
40	阿尔热尔 (Algere)
41	泰勒 (Taylor)
42	阿尔弗雷德森 (Alfredsson)
43	威洛比 (Willoughbye)
44	亨特 (Hunt)
45	金斯通 (Kynastone)
46	格莱德温 (Gladwyne)
47	布鲁尔 (Brewer)
48	韦克菲尔德 (Wakefield)
49	费尔奇尔德 (Fairchilde)
50	巴顿 (Barton)
51	菲尔兹 (Fields)
52	古德 (Good)
53	达尔文 (Darwin)
54	布罗德本特 (Broadbent)
55	斯特鲁德威克 (Strudwicke)
56	艾尔梅尔 (Aylmere)
57	菲舍尔 (Fisher)
58	拉德克利夫 (Radcliffe)
59	博特赖特 (Boatwright)
60	科尔森 (Colson)
61	斯威特 (Sweet)
62	温特 (Winter)
63	哈姆 (Hamme)
64	拉金 (Lakin)
65	塔什 (Tashe)
66	温斯洛普 (Winthrop)
67	伊萨姆 (Easom)
68	考菲尔德 (Caulfield)
69	霍林斯 (Hollins)
70	沃尔夫 (Wolf)
71	杰威尔 (Jewel)
72	查尔斯 (Charles)
