d100	风味-魔法飞弹
1	幻影羽毛笔在幽灵卷轴上划去参差的计数标记 Apparitional Quill crosses off jagged tally marks on a spectral Scroll
2	星界直剃刀在飞向目标前磨砺三次 Astral Straight Razor strops thrice before slicing its way toward the target
3	魔法飞弹呈现为紧密堆积的雪球和霜块，上面刻有恶魔般的面孔 Balls of tightly packed Snow and Rime, emblazoned with fiendish Faces
4	这魔法飞弹呈现为滚滚的瘴气烟圈，其色调随施法者的情绪而变幻。 Billowing Smoke Rings of Miasma that shift shade with the caster's mood
5	短暂闪现、转瞬即逝的幽灵半身人，正挥舞着他们百发百中的投石索 Brief, blink-and-miss it, spectral Halfling spinning their unerring Sling
6	明亮的橘色锦鲤，眉头紧锁，尖须摇曳，翩翩而来 Bright tangerine Koi with furrowed brows and sharp whiskers shimmy forth
7	这魔法飞弹显现为一群带着恶毒倒刺的蓝色碎石，发出刺耳的尖啸。 Cacophonous scree of blue Pebbles bearing wicked barbs
8	魔法飞弹在飞行途中，粉笔色的石手紧握成拳。 Chalky stone Hand clenches into a Fist mid-flight
9	云雾缭绕、粗拙切割的宝石，相互碰撞发出清脆的声响 Cloudy, clumsily cut Gemstones careen with a linking clatter
10	凝结并碰撞的血滴，在空气中留下一道深红色的痕迹 Coagulating and colliding Blood Droplets, staining the air with a deep red trail
11	这些魔法飞弹看起来像是色彩斑斓的糖霜蛋糕/馅饼，内含熔化的铅块。 Colorfully frosted Cakes/Tarts containing molten lead lumps
12	不断冻结与解冻的超冷翡翠色液体 Constantly freezing and thawing super-cooled jade colored Liquid
13	铜制圆盘，布满铜绿剥落痕迹，刻有无法辨识的符文 Copper Disc, flaking with verdigris and pockmarked with untranslatable glyphs
14	这道魔法飞弹显现为闪电在冲锋的鹿角兔双角间噼啪作响。 Crackling lightning arcs between the antlers of a charging Jackalope
15	这魔法飞弹显现为：鸣叫的无烟煤灰烬灼烧着不可燃之物 Croaking anthracite cinders burn the unburnable
16	微型马匹与披甲骑士，手持条纹长枪，凌空冲锋 Diminutive Horse and Armored Rider with striped lance set, charge across the air
17	置换飞弹向左偏转，目标躲闪后撞上真正的飞弹 Displacer Missile careens wide to the left, target dodges into the real one
18	扭曲的玻璃球体，内装困惑的青蛙，撞击时碎裂 Distorting Glass Globes, filled with flummoxed Frogs,shattering on impact
19	数十颗脱落的乳牙，有些带着血淋淋的牙根，啃咬并磨砺着。 Dozens of deciduous Teeth, some with bloody roots gnaw and gnash
20	流着口水的鳗鱼，全身覆盖着发光的黏液，用咽颌紧紧咬住目标 Drooling Eels covered in glowing slime, clamping pharyngeal jaws tightly on target
21	暗淡的青色闪光凝聚成一道璀璨的火花，伴随着一声湿润的“啪”响 Dull cyan flash consolidates into a brilliant Spark with a wet “pop”
22	施法者最近使用的餐具的回响，急切地想要将目标切成小块 Echoes of the last Cutlery used by the caster eager to make bite-sized portions
23	诡异的蜡烛队列，滴落着腐蚀性的蜡油 Eerie procession of Candles, dripping corrosive wax
24	这魔法飞弹显现为已灭绝植物花朵的极度绚丽爆炸 Excruciatingly colorful explosion of Flower Blossoms from extinct Plants
25	眼球（颜色与施法者的虹膜一致），来回穿梭，爆裂时洒下酸液 Eyeball (color matches caster's Iris), dartles to-and-fro, pops in a shower of acid
26	多面棱镜悬浮空中，蕴藏狂暴意图，最终释放为一道璀璨光束 Facetted Prisms hover and store violent intentions releasing in a brilliant beam
27	微弱的电光与电流交织，汇聚成一道璀璨的雷电 Feeble bolts and jolts of Electricity course together into one brilliant fulmination
28	这枚魔法飞弹呈现为……充满令人痛苦瘙痒的天蓝色沙粒，小沙漏在撞击时碎裂 Filled with agonizingly itchy sky-blue Sand, small Hourglasses shatter on impact
29	指尖无痛地迸发出炽热的白色针芒 Fingertips erupt painlessly with white hot Needles
30	拳头大小的月亮复制品，逆向旋转，进行不规则的轨道飞行 Fist-sized replica Moon spins widdershins in erratic orbital flight
