1d100	Knave2E-颜色
1	酸绿色 Acid green
2	乳白色 Alabaster
3	琥珀色 Amber
4	紫水晶色 Amethyst
5	杏色 Apricot
6	海蓝色 Aquamarine
7	芦笋绿 Asparagus
8	栗色 Auburn
9	金黄色 Aureolin
10	鳄梨绿 Avocado
11	天蓝色 Azure
12	浅蓝色 Baby blue
13	米色 Beige
14	骨白色 Bone
15	瓶绿色 Bottle green
16	青铜色 Bronze
17	泡泡糖色 Bubblegum
18	深红色 Carmine
19	胡萝卜色 Carrot
20	青瓷色 Celadon
21	樱桃红 Cerise
22	蔚蓝 Cerulean
23	香槟色 Champagne
24	炭黑色 Charcoal
25	黄绿色 Chartreuse
26	栗色 Chestnut
27	肉桂色 Cinnamon
28	无色 Colorless
29	铜色 Coppery
30	珊瑚粉 Coral pink
31	乳白色 Creamy
32	深红色 Crimson
33	青色 Cyan
34	鸽灰色 Dove grey
35	暗褐色 Dun
36	蛋壳色 Eggshell
37	电光蓝 Electric blue
38	翡翠色 Emerald
39	肉色 Flesh
40	品红色 Fuchsia
41	深黑 Fuligin
42	金色 Golden
43	葡萄汁色 Grape juice
44	紫红色 Heliotrope
45	冰蓝色 Ice blue
46	靛蓝色 Indigo
47	墨黑 Inky
48	隐形 Invisible
49	象牙色 Ivory
50	凯利绿 Kelly green
51	薰衣草色 Lavender
52	淡紫色 Lilac
53	石灰绿 Lime
54	洋红色 Magenta
55	桃花心木色 Mahogany
56	栗色 Maroon
57	淡紫色 Mauve
58	乳白色 Milk white
59	苔藓绿 Moss green
60	芥末黄 Mustard
61	赭石色 Ochre
62	橄榄色 Olive
63	乳白色 Opalescent
64	牛血色 Oxblood
65	豌豆绿 Pea green
66	桃色 Peach
67	孔雀蓝 Peacock blue
68	珍珠色 Pearl
69	长春花色 Periwinkle
70	松绿色 Pine green
71	梅子色 Plum
72	报春花色 Primrose
73	南瓜色 Pumpkin
74	彩虹 Rainbow
75	玫瑰色 Rose
76	红宝石色 Ruby
77	赤褐色 Russet
78	锈色 Rusty
79	藏红花色 Saffron
80	鲑鱼色 Salmon
81	蓝宝石色 Sapphire
82	猩红色 Scarlet
83	深褐色 Sepia
84	电光粉红 Shocking pink
85	银色 Silver
86	石板蓝 Slate blue
87	烟灰色 Smokey grey
88	橘色 Tangerine
89	青色 Teal
90	赤陶色 Terracotta
91	提香红 Titian red
92	番茄红 Tomato
93	青绿色 Turquoise
94	提尔紫 Tyrian
95	深蓝色 Ultramarine
96	赭色 Umber
97	铜绿 Verdigris
98	朱红色 Vermilion
99	紫色 Violet
100	翠绿色 Viridian
