d100	活动-狗头人
1	正在调整一根摇摇欲坠的地板横梁 Adjusting a precariously balanced floor-beam
2	正对着墙壁试射，校准自动箭矢的瞄准 Aiming automatic arrows by test-firing at a wall
3	暂时与新来的蜥蜴人结盟 Allied with new-comer Lizard Men, for now
4	正在往皮肤上涂抹伪装颜料 Applying camouflaging pigments to their skin
5	用珍稀矿物引诱蛇怪陷阱 Baiting a Basilisk trap with exotic minerals
6	对不太聪明的狗头人下达命令 Barking orders to the less-clever Kobolds
7	轻声吟唱情歌，向伴侣表达爱意 Baying soft songs of love to their partners
8	培育巨型蝎子作为坐骑和驮兽 Breeding Giant Scorpions as mounts and pack animals
9	伏击一些毫无防备的兽人 Bushwhacking some unsuspecting Orcs
10	捕捉巨型蜈蚣供幼崽玩耍 Capturing Giant Centipedes for children to play with
11	检查上周设置的陷阱 Checking snares set last week
12	"向附近的守卫发出“一切正常”的啁啾声 Chirping an ""all's well"" to nearby guards"
13	因黄色霉菌孢子而窒息 Choking on Yellow Mould spores
14	正在缠绕绳索以调整陷阱的张力 Coiling lengths of rope to set the tension of a trap
15	用填充蝙蝠掩盖天花板上的网 Concealing a ceiling net with stuffed bats
16	培育一种只有他们自己能听见的尖叫蕈 Cultivating a form of Shrieker that only they can hear
17	被精灵诅咒，从此无法说谎 Cursed by Sprites and can no longer tell lies
18	幻想着一个没有侏儒的世界 Daydreaming of a world without Gnomes
19	装饰假人以使其数量看起来更多 Decorating decoys to make their numbers look larger
20	在巢穴区域抵御一只食卵的巨蛇 Defending nesting area from an ovivorous Giant Snake
21	"向当地兽人酋长缴纳“保护费” Delivering ""protection money"" to a local Orc Chieftain"
22	绘制错综复杂的家族谱系图 Diagramming convoluted family trees
23	正在墙壁上挖掘新的洞穴 Digging a new warren into a wall
24	伪装一块明显虚假的铺路石 Disguising an obviously false flagstone
25	正在解决弩机中的卡壳问题 Dislodging a jam in a crossbow mechanism
26	驯化油甲虫作为前线防御 Domesticating Oil Beetles as a front-line defense
27	正在穿戴精致的头饰，准备迎接部落的合并仪式 Donning elaborate head-dresses for a merging of Tribes
28	正在倾倒装有极度愤怒蝎子的罐子 Dumping out jars of very angry Scorpions
29	正在享用脆脆的干洞穴蝾螈 Eating crunchy dried Cave Newts
30	在一条肮脏的走廊上鼓励一只胶质怪前进 Encouraging a Gelatinous Cube down a dirty hallway
31	与一位次级精灵建立了深厚的友谊，正享受这份羁绊 Enjoying their bond with a Lesser Djinni
32	正在用一只死去的盗蝇喂养一只友好的蟹蜘蛛 Feeding a friendly Crab Spider with a dead Robber Fly
33	从巧妙的宝箱陷阱中捞出断指 Fishing out severed fingers from a clever chest trap
34	与火巨人友好相处：帮她清除家中的巨型老鼠 Friendly with a Fire Giant: rid her home of Giant Rats
35	正在赌老鼠之间的打斗 Gambling on a fight between Rats
36	伏击一群地精代表 Getting the drop on a group of Gnome delegates
37	小心翼翼地靠近火堆放置蛋，以影响其性别 Gingerly placing eggs near a fire to influence the sex
38	挑逗一只锈蚀怪进入木制笼子 Goading a Rust Monster into a wooden cage
39	发现陷阱被触发却空无一物时，发出低沉的咆哮 Growling as they discover a trap was sprung, but empty
40	从驯养的黑寡妇蜘蛛中采集毒液 Harvesting poison from domesticated Black Widows
41	正在将成捆的标枪运往军械库 Hauling bundles of javelins to an armory
42	将他们的那份财宝藏起来，不让首领发现 Hiding their share of treasure from the boss
43	囤积食物，为预见的饥荒时期做准备 Hoarding foodstuffs to prepare for predicted lean times
44	一只地精被陷阱困住，其他地精正狂笑不止 Howling with laughter as one gets stuck in a snare
45	感染了一种罕见的狼人病：蝙蝠人 Infected with a rare form of Lycanthrope: Were-Bats
46	正在检查一处机关楼梯 Inspecting a trick-staircase
47	审问一名疑似侏儒间谍 Interrogating a suspected Gnomish spy
48	在每月蜕皮期间无法控制地抓痒 Itching uncontrollably during their monthly molt
49	正在编织适合地牢地形的吉利服 Knitting ghillie suits, suitable for dungeon terrain
50	掌握制作适合狗头人尺寸的活体雕像的秘密 Know the secrets of making Kobold Sized Living Statues
51	地精足球用侏儒头当球，侏儒足球：同样糟糕 Kobold soccer uses a Gnome head, Gnome soccer: just as bad
52	洗衣日：在大锅里煮衣物 Laundry day: boiling clothes in giant vats
53	带领一群拴着巨型鼬的潜行队伍进行巡逻 Leading a sneak of leashed Giant Weasels on patrol
54	由一位经历过木乃伊化过程并幸存下来的长者领导 Led by an elder who survived the Mummification process
55	正将一块巨石抬到门上方固定位置 Lifting a large boulder into place above a door
56	潜伏在壁龛中，他们的先知预感访客即将到来 Lurking in alcoves, their Seer suspects visitors soon
57	根据记忆绘制地牢下一层的地图 Mapping a lower level of a Dungeon from memory
58	正在给一只被麻醉的蚓螈挤奶，这一过程令人作呕 Milking a drugged Caecilia, a disgusting process
59	为深地半人种族兼职做商人 Moonlighting as Merchants for Demi-humans of the Deep
60	监督建造一个坑洞陷阱 Overseeing construction of a pit-trap
61	透过一个完美伪装的窥视孔窥探 Peering through a perfectly camouflaged peephole
62	精心策划一次地表突袭 Planning a surface raid meticulously
63	正在准备一场以骡肉为主的盛宴，庆祝成功 Preparing a feast of Mule meat to celebrate success
64	重新给门把手上的毒针涂抹毒药 Reapplying poison to doorknob needles
65	最近影魔的袭击让他们全都紧张不安 Recent attacks from a Shadow have them all nervous
66	正在重置一个弹簧驱动的投油装置 Resetting a spring-loaded oil-flinger
67	复述关于他们古老仇恨的神话 Retelling myths about their ancient enmity
68	从尖刺陷阱中取回宝藏 Retrieving treasure from a spike pit
69	正在烤制一只调味得当的洞穴蝗虫 Roasting a well-seasoned Cave Locust
70	正沿着地面滚动大桶的灯油 Rolling large barrels of lamp oil along
71	为他们的巨型蝙蝠坐骑备鞍，准备执行侦察任务 Saddling up their Giant Bat mounts for a scouting mission
72	潜行至有利位置，准备伏击一只熊地精 Skulking into position to ambush a Bugbear
73	用长矛猛地合上钢制陷阱的夹口 Snapping shut the jaws of a steel trap with a spear
74	对厨师咆哮，因为他又端上了“串烤老鼠” Snarling at a chef for serving Rat-on-a-Stick AGAIN
75	在牛头人脚下哀求怜悯 Sniveling for mercy at the foot of a Minotaur
76	因一个关于侏儒愚蠢的笑话而嗤之以鼻 Snorting at a joke about the stupidity of Gnomes
77	散布关于豺狼人首领有侏儒血统的谣言 Spreading rumors about a Gnoll Chief's Gnomish blood
78	因陷阱试射成功而兴奋地吱吱叫 Squeaking with delight as a test fire of a trap goes off
79	稳步增强对腐尸爬行者毒液的免疫力 Steadily building an immunity to Carcass Crawler venom
80	从独眼巨人那里偷取珍贵的葡萄藤 Stealing prized grapevines from a Cyclops
81	正在布置绊线，作为断头台警报系统 Stringing a tripwire, guillotine warning system
82	正在用稻草填充一只剥制标本的狮鹫兽 Stuffing a taxidermized Manticore with straw
83	通过展示小魔法来惊吓一位灵媒 Surprising a Medium by displaying minor magics
84	诈骗巨魔，用大量铜币换取少量金币 Swindling a Troll, trading tons of CP for fewer GP
85	照料一种侏儒风味品种的蘑菇 Tending to a Gnome flavored variety of Mushroom
86	与尼安德特人展开领地争夺战 Territorial turf war with Neanderthals
87	测试一阵毒镖的射击效果 Testing the action of a volley of poisoned darts
88	对每周向贪婪的红龙进贡感到厌倦 Tiring of their weekly tribute to a greedy Red Dragon
89	折磨一个闯入的食尸鬼 Torturing a trespassing Thoul
90	训练蝙蝠在吹响骨哨时发起攻击 Training Bats to attack when a bone whistle is blown
91	用协同的绳索技巧绊倒一只食人魔 Tripping an Ogre with coordinated rope-work
92	转动墙上的轮子以打开陷阱门 Turning a wall-mounted wheel to open a trapdoor
93	正在打结，但每隔一阶绳梯的结都会松开 Tying knots that loosen, every other rung of a rope ladder
94	受当地大地精国王的压迫统治 Under the thumb of a local Hobgoblin King
95	摆动着短粗的尾巴，正挖着地精炖菜 Wagging stubby tails as they dig into Gnome gumbo
96	伏击一支穴居人狩猎队 Waylaying a Troglodyte hunting party
97	向上级抱怨工作时间过长 Whining to a superior about long shifts
98	正在为复杂的陷阱装置上紧生锈的齿轮 Winding rusty gears for a complex booby trap
99	将一只流浪的火蜥蜴当作神明进行崇拜 Worshipping an itinerant Flame Salamander as a God
100	对着他们的狼龙首领发出警告的吠叫 Yapping a warning cry to their Were-Wyvern leader
