d100	城市居民特质
1	习惯于只在夜幕降临后处理事务 Accustomed to only conduct business after nightfall
2	沉迷于一种危险药物：蛇发女妖粉 Addicted to a Dangerous Drug: Gorgon Powder
3	这个街区的居民几乎全是非人类 Almost entirely non-human in this neighborhood
4	正在砍断一名疑似偷鸡贼的手 Amputating the hand of a suspected chicken thief
5	向市议员申诉最近发生的盗墓事件 Appealing to an alderman about recent grave robberies
6	为笨拙杂耍艺人的滑稽表演鼓掌 Applauding the antics of a clumsy juggler
7	为一位深受爱戴的寡妇筹备丰厚的嫁妆 Assembling a sizeable dowry for a well-loved widow
8	在溪流中的纸船上打赌 Betting on paper boats floating in the bächles
9	因未预见的不幸而抵制一位预言者 Boycotting an oracle due to unforeseen misfortune
10	繁殖据传有位移犬血统的幼犬 Breeding puppies rumored to have Displacer Dog blood
11	焚烧破旧衣物，一种当地迷信 Burning worn out clothes, a local superstition
12	在十字路口庄严地埋葬一只黑狗 Burying a black dog at a crossroads, solemnly
13	小心翼翼地带着巨大的钟在狭窄的街道上穿行 Carefully navigating narrow streets with an enormous bell
14	在破碎的运钱车旁，沿着鹅卵石路搜寻散落的硬币 Combing the cobbles for coins from a wrecked money-cart
15	明显缺乏幽默感和笑声 Conspicuously devoid of humor and laughter
16	身上布满了无害但相当令人厌恶的疮疤 Covered in harmless, but quite repulsive lesions
17	正在火化一场水源传播瘟疫的受害者 Cremating victims of a water borne plague
18	与魔鬼般的小提琴手肆意共舞 Dancing with wanton abandon to a devilish fiddle player
19	公然违抗禁止在户外戴帽子的荒谬法律 Defying nonsensical laws against wearing hats outside
20	拘留一名试图使用假币的矮人 Detaining a Dwarf who tried to spend counterfeit coins
21	正在毁坏最近安装的贵族雕像 Disfiguring the recently installed statue of a Nobleman
22	"将垃圾丢弃在装有“驯服”软泥的坑中 Disposing of rubbish in a pit containing a ""tame"" Ooze"
23	在阳光下晾晒山羊干肉条 Drying strips of goat meat in the sun
24	热衷于提供向导和搬运工的服务 Eager to offer services as guides and porters
25	煽动斗鸡比赛 Egging on a cockfight
26	精于相马，拥有极佳的马厩 Excellent judges of horseflesh, and have wonderful stables
27	对即将到来的角斗比赛感到兴奋 Excited for an upcoming gladiatorial bout
28	正在挖掘疑似吸血鬼的棺材 Exhuming the coffin of a suspected vampire
29	对自己区域的石像鬼吉祥物极度保护 Extremely protective of their district's Gargoyle mascot
30	向被枷锁示众的扒手投掷烂白菜 Flinging rotten cabbage at a pilloried pickpocket
31	兜售假灯油（燃烧时间极短） Flogging fake lamp oil (won’t stay lit for long)
32	喜爱一种气味难闻的当地美食：波纳康奶酪 Fond of a foul-smelling local delicacy: Bonnacon Cheese
33	强迫不听话的孩子观看囚犯队伍砸石头 Forcing disobedient kids to watch a chain gang smash rock
34	正在组建一条横跨数个街区的接力水桶队 Forming a bucket brigade stretching blocks
35	聚集在一起参加一场将以泪水告终的婚礼 Gathered together for a wedding that will end in tears
36	围观一位健谈的侏儒玻璃匠 Gawking at a gregarious Gnomish glassblower
37	向街头流浪儿赠送小额廉价礼物 Giving small, inexpensive gifts to street urchins
38	逐渐变得虚无缥缈，无人知晓确切原因 Gradually going ethereal, no one's quite sure why
39	因一连串未解绑架案而陷入悲痛 Grieving from a rash of kidnappings that remain unsolved
40	对冒险队赞不绝口，希望他们能大手大脚地花钱 Heaping praise on the party, hoping they'll spend rashly
41	帮助心爱的违法者躲避守卫的追捕 Helping a beloved scofflaw evade the Watch
42	手持薰衣草香味手帕掩面 Holding lavender scented handkerchiefs to their faces
43	向俯冲的魔像投掷苹果 Hurling apples at a swooping Homunculus
44	实际上，是一个由有原则的变形怪组成的繁荣邻里 In reality, a thriving vicinage of principled Doppelgängers
45	以热爱讨价还价而远近闻名 Known far-and-wide for their love of haggling/bargains
46	看着街头小丑嘲笑外地人而大笑 Laughing as a Street Jester insults non-locals
47	礼貌地倾听末日论街头传教士的演讲 Listening politely to a Doomsday Soap-box Cleric
48	大声抱怨兑换商秤被做了手脚 Loudly complaining about a rigged money-changers scale
49	打扮成恶魔的模样在街上游行 Marching down the street dressed up as demons
50	对一幅会动会哭的神奇肖像画惊叹不已 Marveling at a miraculous portrait that moves and weeps
51	熔化社区废弃的蜡烛头 Melting down the community’s candle-ends
52	用泥浆和稻草混合修补墙壁 Mixing daub and straw to repair a wall
53	正在将一对年老体弱的夫妇搬到新家 Moving an elderly and infirm couple to a new home
54	在河岸或露天下水道中泥泞寻宝 Mud-larking on a riverbank/open sewer
55	以四处游荡的未成年扒手团伙而臭名昭著 Notorious for roving rings of pre-teen pocket pickers
56	游行展示一位已故圣武士的断剑 Parading the broken sword of a dead Paladin
57	令人困惑地具有魔法抗性 Perplexingly magic resistant
58	经过鱼贩摊位时捏着鼻子 Pinching nostrils as they pass a fishmonger’s stall
59	在泵站排队时喋喋不休地谈论着一位城市树精 Prattling in a pump queue about an Urban Dryad
60	受到死胡同街道的守护神庇护 Protected by the resident Godling of Dead-End Streets
61	以流淌在血脉中的大地精血统为傲 Proud of the Hobgoblin-blood that flows in their veins
62	追捕一只从下水道逃出的鼠人盗贼 Pursuing a Were-rat footpad, flushed from the sewer
63	总是急切地警告你夜晚不要进入狭窄的巷道 Quick to warn you to stay out of the narrows at night
64	相当确信停尸房是食尸鬼的幌子 Quite certain the charnel house is a front for Ghouls
65	大声喧哗：在鸡窝里发现了一只蟾蜍 Raising hue and cry: Toad found in a Chicken Nest
66	来自异乡的难民，说着蹩脚的通用语 Refugees from a foreign land, speak broken Common
67	依赖一尊活体正义雕像来解决纠纷 Reliant on a Living Statue of Justice to settle disputes
68	在最近一场暴雨后重新铺设屋顶 Re-roofing after a recent rainstorm
69	敲响所有可用的钟声以驱赶亡灵 Ringing every available bell to scare away the Undead
70	传闻中都是技艺高超的扒手 Rumored to all be accomplished cutpurses
71	从二楼撒下丑闻传单 Scattering scandalous leaflets from a second story
72	用沙子擦洗铜制炊具 Scouring copper cookware with sand
73	正在清理干涸喷泉中的炼金残渣 Scrubbing alchemical scum from a drained fountain
74	鲜少不戴诡异面具出现 Seldom seen without their eerie facemasks
75	为教区节日放飞天灯 Sending sky lanterns aloft for a parish festival
76	驱赶晾衣绳上的麻雀 Shooing sparrows off the laundry lines
77	在店铺的焦黑废墟中翻找 Sifting through the burnt-out shell of a shop
78	唱着欢快的广告歌谣来兜售商品 Singing cheerful song-vertisements to sell wares
79	一见到残暴的帮派执法者就仓皇逃窜 Skedaddling at the sight of brutal gang enforces
80	在狂热禁酒的情绪中砸碎酒桶或酒瓶 Smashing kegs/bottles in a fit of zealous temperance
81	正在砸碎当地书店的橱窗 Smashing the shop windows of a local bookseller
82	将每一枚闲钱都花在观看半人马战车赛上 Spending every spare copper on Centaur Chariot Races
83	路过张贴的税收公告时随地吐痰 Spitting as they pass a posted tax proclamation
84	在屠夫的血迹上撒锯末 Spreading sawdust over a butcher's bloodstains
85	竭力从突然出现的陷坑中救出一头驴子 Straining to save a donkey from a sudden sinkhole
86	正因掏粪工罢工而忍受恶臭之苦 Suffering from a smelly Gong Farmers’ strike
87	对展示圣徽的个体持怀疑态度 Suspicious of individuals who display holy symbols
88	在婚礼队伍前清扫街道 Sweeping the streets ahead of a Wedding Procession
89	正在游泳的疑似女巫（实为隐藏的德鲁伊女祭司） Swimming a suspected witch (undercover Druidess)
90	挥动着散发昂贵香料香气的香炉 Swinging sweet-smelling censers of expensive incense
91	正在为两个矮人之间的斗殴下注 Taking wagers on a brawl between two Dwarfs
92	戏剧性地叫卖着昨日剩下的面包 Theatrically vending loaves of yesterday's bread
93	在小型城市花园中耕作土地 Tilling the soil of a small urban garden
94	从窗户向外抛掷垃圾到路人身上 Tossing refuse from the windows onto passersby
