1d100	WWN Community Tags
1-2	Ancient Infrastructure
3-4	Bad Neighbors
5-6	Blood Feud
7-8	Brilliant Innovation
9-10	Broken Spirits
11-12	Corrupt Laws
13-14	Criminal Bosses
15-16	Cultural Center
17-18	Cursed Circumstances
19-20	Decadent Locals
21-22	Decaying Working
23-24	Demihuman Populace
25-26	Dueling Lords
27-28	Enemy Within
29-30	Faded Remnant
31-32	Fallen Prosperity
33-34	Foreign Enclave
35-36	Guild Oligarchy
37-38	Heavy Fortification
39-40	Hidden Ruler
41-42	Hostile Terrain
43-44	Incompetent Leaders
45-46	Inherited Architecture
47-48	Inhuman Cooperation
49-50	Lawless Class
51-52	Magical Academy
53-54	Martial Tradition
55-56	Miserable Penury
57-58	Mistreated Blighted
59-60	Monstrous Tribute
61-62	Neglectful Ruler
63-64	New Industry
65-66	Pilgrimage Site
67-68	Plagued City
69-70	Population Boom
71-72	Raider Scourge
73-74	Rebel Stronghold
75-76	Rigid Castes
77-78	Scars of War
79-80	Seat of Rule
81-82	Secret Treachery
83-84	Sinking City
85-86	Theocratic Authorities
87-88	Toxic Economy
89-90	Trade Hub
91-92	Unique Product
93-94	Upstart Faith
95-96	Warring Council
97-98	Widespread Prosperity
99-100	Xenophobic Locals
