1d100	WWN Ruin Tags
1-2	Ancient Archives
3-4	Aspiring Conqueror
5-6	Automaton Servants
7-8	Birthing Cyst
9-10	Bitter Remnants
11-12	Civil War
13-14	Cyclical Doom
15-16	Decrepit Structure
17-18	Desperate Hunger
19-20	Dire Tombs
21-22	Distant Gate
23-24	Dungeon Heart
25-26	Experimental Lab
27-28	Failed Intrusion
29-30	Fallen Sanctuary
31-32	False Front
33-34	Feral Magic
35-36	Flooded Halls
37-38	Freshly Looted
39-40	Friendly Foes
41-42	Hidden Within
43-44	Hiveminded Natives
45-46	Hospitable Natives
47-48	Hostile Environment
49-50	Infectious Miasma
51-52	Invincible Delusion
53-54	Lethal Treasure
55-56	Limited Access
57-58	Lingering Curse
59-60	Living Dungeon
61-62	Lost Colony
63-64	Magical Wonder
65-66	Monster Forge
67-68	Outsider Domain
69-70	Precious Resource
71-72	Raider Lair
73-74	Recruiting Drive
75-76	Religious Zealots
77-78	Rigid Hierarchy
79-80	Royal Refuge
81-82	Sacrificial Bargain
83-84	Sealed Evil
85-86	Secret Alliance
87-88	Shifting Interior
89-90	Spatial Flux
91-92	Surfacer Hideout
93-94	Taboo Place
95-96	Things Below
97-98	Useless Treasure
99-100	Wizard's Lair
